Country,Entry Year
Albania,2005
Argentina,1994
Australia,1989
Austria,1994
Austria,2005
Azerbaijan,2004
Belarus,2003
Belgium,1976
Belgium,2005
Benin,2014
Bolivia (Plurinational State of),1999
Bosnia and Herzegovina,2017
Bulgaria,1998
Bulgaria,2005
Burkina Faso,2014
Cameroon,2014
Canada,1991
Central African Republic,2014
Chad,2014
Chile,1996
"China, mainland",1999
Colombia,1996
Comoros,2014
Congo,2014
Costa Rica,2009
Côte d’Ivoire,2014
Croatia,2001
Croatia,2005
Cyprus,2005
Czechia,1993
Czechia,2005
Denmark,1968
Denmark,2005
Dominican Republic,2007
Ecuador,1997
Egypt,2019
Equatorial Guinea,2014
Estonia,2000
Estonia,2005
Finland,1993
Finland,2005
France,1971
France,2005
Gabon,2014
Georgia,2008
Germany,1968
Germany,2005
Ghana,2021
Greece,2005
Guinea,2014
Guinea-Bissau,2014
Hungary,1983
Hungary,2005
Iceland,2006
Ireland,1981
Ireland,2005
Israel,1979
Italy,1977
Italy,2005
Japan,1982
Jordan,2004
Kenya,1999
Kyrgyzstan,2000
Latvia,2002
Latvia,2005
Lithuania,2003
Lithuania,2005
Luxembourg,2005
Mali,2014
Malta,2005
Mauritania,2014
Mexico,1997
Montenegro,2015
Morocco,2006
Netherlands,1968
Netherlands,2005
New Zealand,1981
Niger,2014
North Macedonia,2011
Norway,1993
Oman,2009
Panama,1999
Paraguay,1997
Peru,2011
Poland,1989
Poland,2005
Portugal,1995
Portugal,2005
Republic of Korea,2002
Republic of Moldova,1998
Romania,2001
Romania,2005
Russian Federation,1998
Senegal,2014
Serbia,2013
Singapore,2004
Slovakia,1993
Slovakia,2005
Slovenia,1999
Slovenia,2005
South Africa,1977
Spain,1980
Spain,2005
Saint Vincent and the Grenadines,2021
Sweden,1971
Sweden,2005
Switzerland,1977
United Republic of Tanzania,2015
Togo,2014
Trinidad and Tobago,1998
Tunisia,2003
Türkiye,2007
United Kingdom of Great Britain and Northern Ireland,1968
Ukraine,1995
Uruguay,1994
United States of America,1981
Uzbekistan,2004
Viet Nam,2006
